,,,,,,,,,3600,3800,,,,,,,,,,,,,,,,
,,,,,,,,,4000,4000,4000,4120,4320,4400,4600,4800,5200,,,,,,,,,
,,,Incentive base,,,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,Simulation,,,,,,
,,Depot,Now,New,,Incentive $,4000,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,,,45566,45597,45627,Total,
,,Area Manger,5000,5000,,,,,,,,,,,,,,,,Real ,Sales (1-2-3-4),5000,5000,5000,15000,
,,Depocho,4000,4000,,G1(CORE),0.05,AJINOMOTO,200,200,200,206,216,220,230,240,260,,,,,,,,,
,,D.Depocho,4000,4000,,,0.1,ROSDEE,400,400,400,412,432,440,460,480,520,,,New Metod,Sales 1,6000,5000,4500,15500,
,,CV,2500,2500,,,0.2,BIRDY,800,800,800,824,864,880,920,960,1040,,,,Sales 2,1244,5200,5000,11444,
,,Driver,1200,1200,,,,,,,,,,,,,,,,,Sales3,5000,4900,6500,16400,1.0933333333333333
,,CVFV,,2500,,G2(GD),0.05,AJI-PLUS,200,200,200,206,216,220,230,240,260,,,,Sales 4,4800,4000,5000,13800,
,,WSF,,3500,,,0.1,ROSDEE CUBE,400,400,400,412,432,440,460,480,520,,,,,,,Average,14650,-2.3333333333333317E-2
,,WH,,3500,,,0.05,ROSDEE MENU,200,200,200,206,216,220,230,240,260,,,,,,,,,
,,,,,,,0.1,ROSDEE NOODLE,400,400,400,412,432,440,460,480,520,,,,,,,,,
,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,G3(BB),0.15,YUMYUM,600,600,600,618,648,660,690,720,780,,,Cascade concept,,,,,,
,,,,,,,0.1,POWDER COFFEE,400,400,400,412,432,440,460,480,520,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Salesman,Incentive,,,,,
,AJINOMOTO,ROSDEE,BIRDY,AJI Plus,,Others,0.05,Takumi-Aji,200,200,200,206,216,220,230,240,260,,,,,,,,,
0,200,400,200,400,,,0.05,ROSDEE MENU KKR,200,200,200,206,216,220,230,240,260,,,All Depot Salesman,Depocho,incentive,,,,
0.90000999999999998,200,400,200,400,,,,,,,,,,,,,,,,,,,,,,
0.95001000000000002,200,400,200,400,,,,,,,,,,,,,,,,All Area depot result,Area Manager,Incentive,,,,
1.0000100000000001,206,412,206,412,,,,,,,,,,,,,,,,,,,,,,
1.0300100000000001,216,432,216,432,,,,,,,,,,,,,,,,All Area manager Result,Division manager,Incetive,,,,
1.0600100000000001,220,440,220,440,,,,,,,,,,,,,,,,,,,,,,
1.1000100000000002,230,460,230,460,,,,,,,,,,,,,,,,,,,,,,
1.15001,240,480,240,480,,,,,,,,,,,,,,,,,,,,,,
1.20001,260,520,260,520,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,TOTAL,4000,4000,4000,4120,4320,4400,4600,4800,5200,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EXTRA,Special KPI,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,G1,,,,,,,220,,,,,,,,,,,,
,,,,,,,G2,,200,,,,,,,,,,,,,,,,,
,,,,,,,G3,,,,,618,,,,,,,,,,,,,,
,,,,,,,Ot,,,,,206,,,,,,,,,,,,,,
,,,,,,,TOTAL,1244,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Extreme,<80%,80% to <90%,90% to <95%,95% to <100%,100% to <105%,105% to <110%,110% to <115%,115% to < 120%,120% to <130%,>130%,,,,,,,,,
,,,,,,,,0,1200,1350,1425,1500,1575,1725,1875,1950,2100,,,,,,,,,
,,,,,,,Money,,-0.2,-0.1,-0.05,,0.05,0.15,0.25,0.3,0.4,,,,,,,,,
,,,,,,,Option1,<80%,80% to <90%,90% to <95%,95% to <100%,1,>100% to <=105%,>105% to <=110%,>110% to <=115%,>115% to < =120%,>120% to > 130%,,,,,,,,,
,,,,,,,G1,200,200,200,200,206,216,220,230,240,260,,,,,,,,,
,,,,,,,G2,200,200,200,200,206,216,220,230,240,260,,,,,,,,,
,,,,,,,G3,600,600,600,600,618,648,660,690,720,780,,,,,,,,,
,,,,,,,G4,200,200,200,200,206,216,220,230,240,260,,,,,,,,,
