Direct Sup.,,,Target,,,,,,,,,,,,Actual,,,,,,,,,,,,Percent  (Actual vs Target),,,,,,,,,,,,Percent (Round) (Actual vs Target),,,,,,,,,,,,Incentive,,,,,,,,,,,,,,
,,,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,,,
DirectSupCode,Product,Team,Apr_T,May_T,Jun_T,Jul_T,Aug_T,Sep_T,Oct_T,Nov_T,Dec_T,Jan_T,Feb_T,Mar_T,Apr_A,May_A,Jun_A,Jul_A,Aug_A,Sep_A,Oct_A,Nov_A,Dec_A,Jan_A,Feb_A,Mar_A,Apr_P,May_P,Jun_P,Jul_P,Aug_P,Sep_P,Oct_P,Nov_P,Dec_P,Jan_P,Feb_P,Mar_P,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,,Emp Code,Incentive
222222,AJ,222234,452758,445960,450794,438690,470343.49,471941.5,474278.5,419336.16666666698,439923,457166.66666666698,411476.66666666698,460872,439454.76000000024,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,1031
222222,AJP,222234,50398,48310,48360,49300,53768,50031,52757,50648,50699,50079,45813,53676,55275.659999999967,0,0,0,0,0,0,0,0,0,0,0,1.0968,0,0,0,0,0,0,0,0,0,0,0,1.1000000000000001,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,158
222222,AMV,222234,1161.2,1331.6,1475.6,2468.8000000000002,2592,2219.25,4032.7,4199.45,3819,2434,1683,1580,1783.9999999624824,0,0,0,0,0,0,0,0,0,0,0,1.5363,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,26
222222,BD,222234,491846.99999999843,451429.99999999837,449610,464677.99999999854,520162.99999997893,423544.99999999476,477951.99999999843,478961.99999999412,525894,444099,448065,486763.9999999982,453033.99999569979,0,0,0,0,0,0,0,0,0,0,0,0.92110000000000003,0,0,0,0,0,0,0,0,0,0,0,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,2083
222222,FP,222234,731.16,647.48,470.19200000000001,275.13599999999997,433.13599999999997,363.84000000000003,342.13599999999997,283.56799999999998,463.70400000000001,2143.84,1341.136,304.70400000000001,699.95999999999981,0,0,0,0,0,0,0,0,0,0,0,0.95730000000000004,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,19
222222,PDC,222234,80328.5524,111047,83819.943400000004,117019.20359999999,76897.428100000005,111343.2453,93508.086899999995,115975.56140000001,121284.84759999999,107023,98392,108751,64143.12150000011,0,0,0,0,0,0,0,0,0,0,0,0.79849999999999999,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,336
222222,RD,222234,211386.2,205726.43,205039.92,201961.92,206318.34,222353.87,216403.32,209484.18,205546,227606.44,204988.493333333,219485.48333333299,209393.73999999964,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,754
222222,RDC,222234,20402.240000000002,18367.48,18254.759999999998,14668.52,19768.400000000001,19569.04,28027.279999999999,28452.639999999999,25723.24,20151.52,19530.28,27311,16718.696000000065,0,0,0,0,0,0,0,0,0,0,0,0.81950000000000001,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,72
222222,RM,222234,24987.9,50858.52,23407.91,25259.7,30782.79,27306.84,26297.34,25476.5,26563.27,26834.2,26032,29443,25138.929999999993,0,0,0,0,0,0,0,0,0,0,0,1.006,0,0,0,0,0,0,0,0,0,0,0,1.03,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,141
222222,RKR,222234,11116,12379.4,12367.2,13812,16401.8,20828.599999999999,16183.6,19079.439999999999,16602.62,23216.400000000001,20829.8,24226,14272.199999999979,0,0,0,0,0,0,0,0,0,0,0,1.2839,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,34
222222,TKM,222234,36136.800000000003,32821.599999999999,34376,33434.800000000003,38238.699999999997,41535.4,34355.4,40467.4,37126.800000000003,36901.800000000003,37167.599999999999,38120.800000000003,36912,0,0,0,0,0,0,0,0,0,0,0,1.0215000000000001,0,0,0,0,0,0,0,0,0,0,0,1.03,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,79
222222,YY,222234,507712.39999999863,486543.04999965843,495066.1499999818,493974.9999999603,511810.63888886955,487012.33333261893,501411.89444441546,495094.63888887584,498731.5444444053,519410.17777777347,490324.94999981526,501137.4999999986,405857.66665956675,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,1205
222222,ND,222234,7338.4,7188,7990.4,6278,8255,7318.8,11280.916666666601,6321.3166666666693,6437.4,12477.316666666598,8504.7999999999993,10317,9202.8599999999988,0,0,0,0,0,0,0,0,0,0,0,1.2541,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,24
222222,AJA,222234,360,68,120,118,120,125,125,118,120,120,120,125,273.99999998402399,0,0,0,0,0,0,0,0,0,0,0,0.7611,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,1
222222,QM,222234,56,89,42,93,101,71,52,99,2083.5839999999989,2383,1000,2500,26,0,0,0,0,0,0,0,0,0,0,0,0.46429999999999999,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222234,1
222222,AJ,222223,1937476.2849999999,1763409.162,2054000,1876423.622,1766267.55,1963788.7420000001,1897204.66,1805871.3250000002,1877490,1870449,914212.8,1504874.8,1466312.7000000007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222223,1267
