Direct Sup.,,,Target,,,,,,,,,,,,Actual,,,,,,,,,,,,Percent  (Actual vs Target),,,,,,,,,,,,Percent (Round) (Actual vs Target),,,,,,,,,,,,Incentive,,,,,,,,,,,,,,
,,,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,,,
DirectSupCode,Product,Team,Apr_T,May_T,Jun_T,Jul_T,Aug_T,Sep_T,Oct_T,Nov_T,Dec_T,Jan_T,Feb_T,Mar_T,Apr_A,May_A,Jun_A,Jul_A,Aug_A,Sep_A,Oct_A,Nov_A,Dec_A,Jan_A,Feb_A,Mar_A,Apr_P,May_P,Jun_P,Jul_P,Aug_P,Sep_P,Oct_P,Nov_P,Dec_P,Jan_P,Feb_P,Mar_P,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,,Emp Code,Incentive
#N/A,AJ,222222,2390234.2850000001,2209369.162,2504794,2315113.622,2236611.04,2435730.2420000001,2371483.16,2225207.4916666672,2649662,2615879,1660657.8,2284950.4,1905767.4600000009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,180
#N/A,AJP,222222,194023,189910,221260,202500,192568,190931,199848.66666666669,200739.66666666669,2767581,2454500,1611797.7,1968993.7,225825.66000000024,0,0,0,0,0,0,0,0,0,0,0,1.1638999999999999,0,0,0,0,0,0,0,0,0,0,0,1.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,390
#N/A,AMV,222222,1176.2,1353.6,1514.6,2491.8000000000002,2613,2242.25,4056.7,4221.45,981558.99999999895,859284,709230.99999999895,868575.07637530332,1800.9999999622105,0,0,0,0,0,0,0,0,0,0,0,1.5311999999999999,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,702
#N/A,BD,222222,988846.99999999837,901429.99999999837,994610,945677.9999999986,1014162.9999999789,990544.99999999476,950951.99999999837,1049961.9999999942,249395,287811,158938,233335,883887.99999143463,0,0,0,0,0,0,0,0,0,0,0,0.89390000000000003,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,570
#N/A,FP,222222,2231.16,2497.48,2570.192,1925.136,2258.136,2138.84,2377.136,2268.5680000000002,103882,96710,70258.36,88389,2509.7879999999991,0,0,0,0,0,0,0,0,0,0,0,1.1249,0,0,0,0,0,0,0,0,0,0,0,1.1499999999999999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,780
#N/A,PDC,222222,407178.55239999999,393897,561519.94339999999,660369.20360000001,400647.42810000002,352693.24530000001,448708.08689999999,738325.56140000001,185411.38826379296,165209,110505,132221.65282249037,358839.33089999936,0,0,0,0,0,0,0,0,0,0,0,0.88129999999999997,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,399.00000000000006
#N/A,RD,222222,2267386.2000000002,2618726.4300000002,2695039.92,2584961.92,2200318.34,2423353.87,1675403.32,2867484.18,84592.200000000012,77575,42077,59058,2378660.3000000091,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,180
#N/A,RDC,222222,60802.240000000005,59267.479999999996,107854.76,55068.520000000004,57168.4,66169.040000000008,70927.28,66352.639999999999,1809395.999999163,1848576,1302436,1414439.9999987108,62881.352000000174,0,0,0,0,0,0,0,0,0,0,0,1.0342,0,0,0,0,0,0,0,0,0,0,0,1.06,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,600
#N/A,RM,222222,168887.9,113158.51999999999,184907.91,175259.7,93282.790000000008,93906.84,91097.34,184176.5,628221,770230,323405,448054.27760000003,239861.17999999947,0,0,0,0,0,0,0,0,0,0,0,1.4201999999999999,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,780
#N/A,RKR,222222,49616,38879.4,88667.199999999997,51412,45401.8,58828.6,51483.6,53979.44,162412.47645362921,132580,67586,114856.653981143,55259.999999999665,0,0,0,0,0,0,0,0,0,0,0,1.1137999999999999,0,0,0,0,0,0,0,0,0,0,0,1.1499999999999999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,198.00000000000003
#N/A,TKM,222222,159186.79999999999,153771.6,232276,170934.8,182838.7,166135.4,165055.4,177267.4,63310,59231.199999999997,62319.199999999997,61850,176463.59999999983,0,0,0,0,0,0,0,0,0,0,0,1.1085,0,0,0,0,0,0,0,0,0,0,0,1.1499999999999999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,206.99999999999997
#N/A,YY,222222,1299512.3999999985,1141543.0499996585,1446866.1499999817,1213974.9999999604,1281910.6388888694,1238512.3333326189,1195411.8944444153,1274094.638888876,1903.99999999888,1602.1364985163204,1412.1750741839762,1198.1364985163204,1066258.6666495528,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,480
#N/A,ND,222222,14338.4,13488,41990.400000000001,12078,14255,12918.8,17080.916666666599,12321.316666666669,33,33,33,33,24651.620000000003,0,0,0,0,0,0,0,0,0,0,0,1.7193000000000001,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,780
#N/A,AJA,222222,360,68,120,118,120,125,125,118,4099.7559999999994,4026,3097,4223,273.99999998402399,0,0,0,0,0,0,0,0,0,0,0,0.7611,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,432
#N/A,QM,222222,56,89,42,93,101,71,52,99,4099.7559999999994,4026,3097,4223,26,0,0,0,0,0,0,0,0,0,0,0,0.46429999999999999,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,222222,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
