SalesCode_BI,Product Group,Merge,Salesman Code
1190064712,AJ,1190064712AJ,5490000711
1190064712,AJP,1190064712AJP,5490000711
1190064712,YY,1190064712YY,5490000711
1190064712,RKR,1190064712RKR,5490000711
1190064712,RDC,1190064712RDC,5490000705
1190064712,RM,1190064712RM,5490000705
1190064712,ND,1190064712ND,5490000705
1190064712,RD,1190064712RD,5490000705
1190064712,BD,1190064712BD,5490000714
1190064712,PDC,1190064712PDC,5490000714
1190064712,TKM,1190064712TKM,5490000714
5490000704,YY,5490000704YY,5490000702
5490000704,AJA,5490000704AJA,5490000702
5490000717,YY,5490000717YY,5490000703
5490000717,PDC,5490000717PDC,5490000703
5490000717,RKR,5490000717RKR,5490000703
5490000717,BD,5490000717BD,5490000703
5490000709,BD,5490000709BD,5490000713
5490000709,PDC,5490000709PDC,5490000713
5490000709,YY,5490000709YY,5490000713
5490000709,AJA,5490000709AJA,5490000713
5490000709,FP,5490000709FP,5490000713
5490000704,BD,5490000704BD,5490000708
5490000704,PDC,5490000704PDC,5490000708
