ROW\COL,A,B,C,D,E,F,G,H
1,Salesman Code,Sales Office,April,May,June,July,August,September
2,1190011201,Thonburi,10686.659999999994,10938.919999999998,12155.99999999999,13346.339999999995,11659.179999999997,8412.459999999997
3,1190011203,Thonburi,,1.5,,,,
4,1190011214,Thonburi,4872.12,5921.4,8818.799999999994,12257.219999999992,8300.279999999999,3425.5200000000023
5,1190011401,Nonthaburi,5775.84,8476.800000000001,6833.4400000000005,10179.999999999996,9112.319999999992,5843.819999999998
6,1190011412,Nonthaburi,4843.3200000000015,10705.38,10573.439999999999,10436.999999999995,9570.359999999999,4474.800000000001
7,1190011501,Pattanakarn,31634.7,28241.359999999997,33036.84000000002,37197.18000000002,23767.460000000014,29194.14000000001
8,1190011701,Bangpoo,18807.840000000007,19533.839999999993,21292.440000000006,23776.560000000027,22363.020000000008,19757.46000000001
9,1190011801,Ramindra,2748.54,4218.120000000001,3963.5400000000004,4472.459999999998,4387.139999999997,3008.280000000002
10,1190017001,Pathumthani,22183.260000000006,22958.459999999985,24229.500000000007,26343,22603.800000000014,23135.7
11,1190017013,Pathumthani,2255.0999999999995,2557.7400000000002,3865.0800000000013,4281.179999999999,5183.459999999999,5019.6
12,1190017014,Pathumthani,302.4,302.4,317.4,403.2,302.4,100.8
13,1190021901,Chiangmai,4159.980000000001,4873.079999999999,4888.800000000001,6105.659999999999,4719.540000000001,4298.520000000001
14,1190021902,Chiangmai,1421.2800000000002,151.2,461.1,259.5,151.2,639.9599999999999
15,1190022001,Chiangrai,4966.760000000001,5569.0199999999995,3174.0999999999995,3941.56,3601.6600000000008,5840.559999999999
16,1190022101,Phrae,4833.179999999997,3659.6999999999985,3928.56,3633.660000000002,4533.36,3332.2200000000016
17,1190022201,Lampang,1649.5800000000006,1236.7799999999997,992.5199999999998,1992.9600000000003,1637.4000000000005,1773.8600000000006
18,1190022301,P.Sanulok,1055.3400000000001,2815.8,1541.7600000000002,1961.5800000000006,2677.7400000000002,1848.8400000000004
19,1190022302,P.Sanulok,1118.88,2900.2200000000003,3043.920000000001,1078.08,1189.44,2325.900000000002
