ROW\COL,A,B,C,D,E,F,G,H
1,Salesman Code,Sales Office,April,May,June,July,August,September
2,1190011201,Thonburi,121.53599999999999,62.208,58.751999999999995,41.471999999999994,57.599999999999994,80.64
3,1190011214,Thonburi,,12.096,75.744,,49.536,175.39200000000002
4,1190011401,Nonthaburi,34.56,72.57600000000001,46.08,54.71999999999999,40.31999999999999,77.76
5,1190011412,Nonthaburi,,,,5.76,,
6,1190011501,Pattanakarn,28.8,,17.28,28.8,11.52,46.08
7,1190011701,Bangpoo,,237.312,34.559999999999995,54.144000000000005,74.88,28.799999999999997
8,1190011801,Ramindra,12.096,,8.639999999999999,,,10.367999999999999
9,1190017001,Pathumthani,168.47999999999996,111.16799999999998,95.61599999999999,110.88000000000001,95.03999999999998,202.75199999999995
10,1190017013,Pathumthani,73.72800000000001,42.048,140.544,69.696,171.648,86.39999999999998
11,1190017014,Pathumthani,,,86.4,,,
12,1190021901,Chiangmai,67.392,48.96,28.799999999999997,74.88,77.75999999999999,81.21600000000002
13,1190021902,Chiangmai,28.799999999999997,107.99999999999999,107.136,73.44000000000001,149.472,144
14,1190022001,Chiangrai,474.91199999999986,844.416,630.4320000000001,724.8960000000001,724.032,888.1919999999996
15,1190022101,Phrae,419.3279999999998,161.85600000000005,252.86400000000003,210.81600000000006,204.48,298.36799999999994
16,1190022201,Lampang,199.296,161.28,285.696,233.85599999999988,296.3519999999999,255.74399999999991
17,1190022301,P.Sanulok,203.32799999999997,152.064,142.55999999999997,232.41599999999994,381.8879999999998,112.32000000000002
18,1190022302,P.Sanulok,36.864000000000004,357.12000000000006,292.032,124.992,150.91200000000003,310.4639999999998
19,1190022401,N.Sawan,124.41600000000001,83.52,182.01600000000005,138.816,206.20800000000003,286.848
20,1190022402,N.Sawan,124.41600000000001,84.09599999999999,31.68,103.68,47.232,81.216
21,1190022510,Kampeng.P,157.824,88.704,206.208,125.568,188.92799999999994,207.35999999999999
22,1190027101,Tak,1380.6719999999996,228.95999999999998,260.352,553.5359999999998,176.544,734.3999999999995
23,1190032602,Rayong,392.832,421.0559999999999,215.424,525.888,934.2719999999999,685.4399999999997
24,1190032701,Chachoengsao,127.296,127.29599999999999,73.728,108.86399999999999,55.29599999999999,91.584
25,1190032801,Chantaburi,581.4719999999995,879.8399999999997,591.5519999999995,626.6879999999996,527.3279999999997,503.42399999999975
26,1190032901,Lopburi,129.60000000000005,119.80799999999999,130.17600000000002,112.32000000000001,231.552,293.18399999999997
27,1190032902,Lopburi,61.632000000000005,207.93599999999998,14.975999999999999,35.712,184.89600000000002,50.111999999999995
28,1190033001,Ratchaburi,198.144,191.23199999999997,111.74400000000001,130.176,214.84800000000004,311.04
29,1190033002,Ratchaburi,169.92000000000002,119.80799999999999,111.74399999999999,144.00000000000003,167.04000000000002,167.04000000000002
30,1190033101,Huahin,163.00799999999998,57.60000000000001,77.18400000000001,139.392,36.288,59.32800000000001
31,1190033102,Huahin,44.352000000000004,38.592,60.48,23.04,58.752,19.584
32,1190033201,Suphanburi,161.28,158.976,240.768,78.336,142.84799999999998,133.632
33,1190033202,Suphanburi,209.08799999999997,144.576,131.61599999999999,121.824,135.93600000000004,139.68
34,1190033301,Nakornpathom,57.6,249.98399999999998,81.216,187.20000000000005,73.152,123.26400000000001
35,1190033302,Nakornpathom,147.45599999999996,196.99200000000002,124.416,278.208,143.42400000000004,173.37599999999998
36,1190037301,Chonburi,107.42400000000002,171.93599999999995,130.17600000000002,49.53600000000001,20.736,14.975999999999999
