ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP
1,Row Labels,,,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March
2,1190011201,76001,นายวิโรจน์ แซ่ฉั่ว,Thonburi,15225.689283556538,15484.091606751437,15090.61003355861,11820.563279213857,10434.85259847138,14552.083709503451,11112.753199589726,15501.10302814887,9303.82015401223,12834.51406442888,14543.363896247103,10966.255146517999,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b841ac0>,10938.919999999998,12155.99999999999,13346.339999999995,11659.179999999997,8412.459999999997,,,,,,,,=R2/E2,=S2/F2,=T2/G2,=U2/H2,=V2/I2,=W2/J2,=X2/K2,=Y2/L2,=Z2/M2,=AA2/N2,=AB2/O2,=AC2/P2,,"=ROUND(AE2,4)","=ROUND(AF2,4)","=ROUND(AG2,4)","=ROUND(AH2,4)","=ROUND(AI2,4)","=ROUND(AJ2,4)","=ROUND(AK2,4)","=ROUND(AL2,4)","=ROUND(AM2,4)","=ROUND(AN2,4)","=ROUND(AO2,4)","=ROUND(AP2,4)",,"=IFERROR(VLOOKUP(AR2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB2,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC2,'Top WS'!$A$19:$B$28,2),0)"
3,1190011214,71328,นายประเสริฐ สุขีธรรม,Thonburi,11486.046301630371,11680.981387549331,11384.144411281057,8917.267035196419,7871.906346215253,10977.887710678044,8383.30504530453,11693.814565094763,7018.671344254841,9682.17727667442,10971.309605940798,8272.788970180245,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b36aa50>,5921.4,8818.799999999994,12257.219999999992,8300.279999999999,3425.5200000000023,,,,,,,,=R3/E3,=S3/F3,=T3/G3,=U3/H3,=V3/I3,=W3/J3,=X3/K3,=Y3/L3,=Z3/M3,=AA3/N3,=AB3/O3,=AC3/P3,,"=ROUND(AE3,4)","=ROUND(AF3,4)","=ROUND(AG3,4)","=ROUND(AH3,4)","=ROUND(AI3,4)","=ROUND(AJ3,4)","=ROUND(AK3,4)","=ROUND(AL3,4)","=ROUND(AM3,4)","=ROUND(AN3,4)","=ROUND(AO3,4)","=ROUND(AP3,4)",,"=IFERROR(VLOOKUP(AR3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB3,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC3,'Top WS'!$A$19:$B$28,2),0)"
4,1190011401,63723,นายธนาพัทธ์ จงเทพสกุลชัย,Nonthaburi,8422.461019806153,8766.54024441635,8616.940581542354,8826.380109565951,8975.97977243995,8871.260008428151,8990.939738727351,8975.97977243995,9125.579435313948,9125.579435313948,8826.380109565951,8975.97977243995,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b36bf80>,8476.800000000001,6833.4400000000005,10179.999999999996,9112.319999999992,5843.819999999998,,,,,,,,=R4/E4,=S4/F4,=T4/G4,=U4/H4,=V4/I4,=W4/J4,=X4/K4,=Y4/L4,=Z4/M4,=AA4/N4,=AB4/O4,=AC4/P4,,"=ROUND(AE4,4)","=ROUND(AF4,4)","=ROUND(AG4,4)","=ROUND(AH4,4)","=ROUND(AI4,4)","=ROUND(AJ4,4)","=ROUND(AK4,4)","=ROUND(AL4,4)","=ROUND(AM4,4)","=ROUND(AN4,4)","=ROUND(AO4,4)","=ROUND(AP4,4)",,"=IFERROR(VLOOKUP(AR4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB4,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC4,'Top WS'!$A$19:$B$28,2),0)"
5,1190011412,71043,นายเสริมโชค อยู่อุดมสุข,Nonthaburi,11046.472819216184,11497.749683944374,11301.542351453858,11576.232616940582,11772.4399494311,11635.094816687739,11792.060682680154,11772.4399494311,11968.647281921618,11968.647281921618,11576.232616940582,11772.4399494311,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b3aac30>,10705.38,10573.439999999999,10436.999999999995,9570.359999999999,4474.800000000001,,,,,,,,=R5/E5,=S5/F5,=T5/G5,=U5/H5,=V5/I5,=W5/J5,=X5/K5,=Y5/L5,=Z5/M5,=AA5/N5,=AB5/O5,=AC5/P5,,"=ROUND(AE5,4)","=ROUND(AF5,4)","=ROUND(AG5,4)","=ROUND(AH5,4)","=ROUND(AI5,4)","=ROUND(AJ5,4)","=ROUND(AK5,4)","=ROUND(AL5,4)","=ROUND(AM5,4)","=ROUND(AN5,4)","=ROUND(AO5,4)","=ROUND(AP5,4)",,"=IFERROR(VLOOKUP(AR5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB5,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC5,'Top WS'!$A$19:$B$28,2),0)"
6,1190011501,71637,นายพณิชพงศ์ แจ้งธีรภูสิทธิ์,Pattanakarn,29692.931591515677,30905.96432083159,30378.55878634642,31116.926534625665,31644.332069110846,31275.148194971225,31697.072622559368,31644.332069110846,32171.737603596022,32171.737603596022,31116.926534625665,31644.332069110846,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b36bfe0>,28241.359999999997,33036.84000000002,37197.18000000002,23767.460000000014,29194.14000000001,,,,,,,,=R6/E6,=S6/F6,=T6/G6,=U6/H6,=V6/I6,=W6/J6,=X6/K6,=Y6/L6,=Z6/M6,=AA6/N6,=AB6/O6,=AC6/P6,,"=ROUND(AE6,4)","=ROUND(AF6,4)","=ROUND(AG6,4)","=ROUND(AH6,4)","=ROUND(AI6,4)","=ROUND(AJ6,4)","=ROUND(AK6,4)","=ROUND(AL6,4)","=ROUND(AM6,4)","=ROUND(AN6,4)","=ROUND(AO6,4)","=ROUND(AP6,4)",,"=IFERROR(VLOOKUP(AR6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB6,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC6,'Top WS'!$A$19:$B$28,2),0)"
7,1190011701,29698,นายพูลทวี เกษรบัว,Bangpoo,21060,20792,20740,24338,20026,21580,22108,23423,21528,20528,21265,25872,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b39d010>,19533.839999999993,21292.440000000006,23776.560000000027,22363.020000000008,19757.46000000001,,,,,,,,=R7/E7,=S7/F7,=T7/G7,=U7/H7,=V7/I7,=W7/J7,=X7/K7,=Y7/L7,=Z7/M7,=AA7/N7,=AB7/O7,=AC7/P7,,"=ROUND(AE7,4)","=ROUND(AF7,4)","=ROUND(AG7,4)","=ROUND(AH7,4)","=ROUND(AI7,4)","=ROUND(AJ7,4)","=ROUND(AK7,4)","=ROUND(AL7,4)","=ROUND(AM7,4)","=ROUND(AN7,4)","=ROUND(AO7,4)","=ROUND(AP7,4)",,"=IFERROR(VLOOKUP(AR7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB7,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC7,'Top WS'!$A$19:$B$28,2),0)"
8,1190011801,28236,นายประวิทย์ ธารีบุญ,Ramindra,3536.0630618291743,4756.836486202081,5608.045911737471,4333.947694558656,5010.212054503472,5037.9012015753615,3343.762597834682,6389.899985635857,4531.680000801704,5549.55424459757,5569.493080168474,5822.603680555301,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b39f290>,4218.120000000001,3963.5400000000004,4472.459999999998,4387.139999999997,3008.280000000002,,,,,,,,=R8/E8,=S8/F8,=T8/G8,=U8/H8,=V8/I8,=W8/J8,=X8/K8,=Y8/L8,=Z8/M8,=AA8/N8,=AB8/O8,=AC8/P8,,"=ROUND(AE8,4)","=ROUND(AF8,4)","=ROUND(AG8,4)","=ROUND(AH8,4)","=ROUND(AI8,4)","=ROUND(AJ8,4)","=ROUND(AK8,4)","=ROUND(AL8,4)","=ROUND(AM8,4)","=ROUND(AN8,4)","=ROUND(AO8,4)","=ROUND(AP8,4)",,"=IFERROR(VLOOKUP(AR8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB8,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC8,'Top WS'!$A$19:$B$28,2),0)"
9,1190017001,77683,นายสุพัชธณคุณ ชลมงคล,Pathumthani,31852.700048842922,25349.90989224821,22469.42440107468,35484.17510582216,25389.539084338267,30544.936709871257,18762.621127725946,36541.06273288492,24354.26738023371,27179.730522059082,29943.62103485198,12733.088678322321,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b3c7260>,22958.459999999985,24229.500000000007,26343,22603.800000000014,23135.7,,,,,,,,=R9/E9,=S9/F9,=T9/G9,=U9/H9,=V9/I9,=W9/J9,=X9/K9,=Y9/L9,=Z9/M9,=AA9/N9,=AB9/O9,=AC9/P9,,"=ROUND(AE9,4)","=ROUND(AF9,4)","=ROUND(AG9,4)","=ROUND(AH9,4)","=ROUND(AI9,4)","=ROUND(AJ9,4)","=ROUND(AK9,4)","=ROUND(AL9,4)","=ROUND(AM9,4)","=ROUND(AN9,4)","=ROUND(AO9,4)","=ROUND(AP9,4)",,"=IFERROR(VLOOKUP(AR9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB9,'Top WS'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC9,'Top WS'!$A$19:$B$28,2),0)"
10,1190017013,76289,นายเธียรกวิน ใจผ่อง,Pathumthani,2598.7511106889815,2068.2110586332765,1833.2022569294277,2895.030541421478,2071.4442667067465,2492.0552442644835,1530.777058784553,2981.258330289962,1986.980045878336,2217.4997652983607,2442.995987876961,1038.8484585153233,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7f993b39dd30>,2557.7400000000002,3865.0800000000013,4281.179999999999,5183.459999999999,5019.6,,,,,,,,=R10/E10,=S10/F10,=T10/G10,=U10/H10,=V10/I10,=W10/J10,=X10/K10,=Y10/L10,=Z10/M10,=AA10/N10,=AB10/O10,=AC10/P10,,"=ROUND(AE10,4)","=ROUND(AF10,4)","=ROUND(AG10,4)","=ROUND(AH10,4)","=ROUND(AI10,4)","=ROUND(AJ10,4)","=ROUND(AK10,4)","=ROUND(AL10,4)","=ROUND(AM10,4)","=ROUND(AN10,4)","=ROUND(AO10,4)","=ROUND(AP10,4)",,"=IFERROR(VLOOKUP(AR10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AS10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AT10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AU10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AV10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AW10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AX10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AY10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(AZ10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BA10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BB10,' WS SF'!$A$19:$B$28,2),0)","=IFERROR(VLOOKUP(BC10,' WS SF'!$A$19:$B$28,2),0)"
