ROW\COL,A,B,C
1,Sale Incentive Guide,,
2,,,
3,Annually,,
4,Step No.,Sheet,Step detail
5,1,M_Month,Set the Sales Incentive payment cycle to once per year.
6,,,
7,Monthly,,
8,Step No.,Sheet,Step detail
9,1,Period,Define the Sales Incentive period.
10,2,Actual,Download data from BI and copy it into the Actual sheet.
11,3,AST_Base,Update the data in the AST Base sheet and copy the formulas in the yellow-highlighted columns.
12,4,HR Rep,"Download Personal Employment (Main & Active)_AST report from HCM, Update the data in the HR Rep and copy the formulas in the yellow-highlighted columns."
13,5,For HR,"Enter the employee ID, then copy all formulas except the Employee ID and Payment Method columns."
14,,,
15,As needed,,
16,Step No.,Sheet,Step detail
17,1,T_SectAbove,Adjust the compensation rate based on position level.
18,2,Table,Adjust the compensation rate based on Job Function.
19,3,Target & Cal,Adjust sales targets based on business conditions.
20,4,Shortage,Adjust shortages by product and month.
21,5,Fix Rate,Adjust fixed rate based on employee.
22,,,
23,***Please ensure that sales and employee data align with the Sales Incentive period for that month.,,
24,,,
25,Recheck Job Function,,
