ROW\COL,A,B,C,D
1,SalesCode_BI,Product Group,Merge,Salesman Code
2,1190064712,AJ,=A2&B2,5490000711
3,1190064712,AJP,=A3&B3,5490000711
4,1190064712,YY,=A4&B4,5490000711
5,1190064712,RKR,=A5&B5,5490000711
6,1190064712,RDC,=A6&B6,5490000705
7,1190064712,RM,=A7&B7,5490000705
8,1190064712,ND,=A8&B8,5490000705
9,1190064712,RD,=A9&B9,5490000705
10,1190064712,BD,=A10&B10,5490000714
11,1190064712,PDC,=A11&B11,5490000714
12,1190064712,TKM,=A12&B12,5490000714
13,5490000704,YY,=A13&B13,5490000702
14,5490000704,AJA,=A14&B14,5490000702
15,5490000717,YY,=A15&B15,5490000703
16,5490000717,PDC,=A16&B16,5490000703
17,5490000717,RKR,=A17&B17,5490000703
18,5490000717,BD,=A18&B18,5490000703
19,5490000709,BD,=A19&B19,5490000713
20,5490000709,PDC,=A20&B20,5490000713
21,5490000709,YY,=A21&B21,5490000713
22,5490000709,AJA,=A22&B22,5490000713
23,5490000709,FP,=A23&B23,5490000713
24,5490000704,BD,=A24&B24,5490000708
25,5490000704,PDC,=A25&B25,5490000708
