ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP
1,Row Labels,,,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March,,April,May,June,July,August,September,October,November,December,January,February,March
2,1190011201,"=VLOOKUP(A2,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A2,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A2,'Aji Plus'!$A$2:$D$58,4,0)",167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,,"=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A2,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R2/E2,=S2/F2,=T2/G2,=U2/H2,=V2/I2,=W2/J2,=X2/K2,=Y2/L2,=Z2/M2,=AA2/N2,=AB2/O2,=AC2/P2,,"=ROUND(AE2,4)","=ROUND(AF2,4)","=ROUND(AG2,4)","=ROUND(AH2,4)","=ROUND(AI2,4)","=ROUND(AJ2,4)","=ROUND(AK2,4)","=ROUND(AL2,4)","=ROUND(AM2,4)","=ROUND(AN2,4)","=ROUND(AO2,4)","=ROUND(AP2,4)",,"=IFERROR(VLOOKUP(AR2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB2,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC2,'Top WS'!$A$19:$E$28,5),0)"
3,1190011214,"=VLOOKUP(A3,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A3,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A3,'Aji Plus'!$A$2:$D$58,4,0)",167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,167.07665,,"=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A3,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R3/E3,=S3/F3,=T3/G3,=U3/H3,=V3/I3,=W3/J3,=X3/K3,=Y3/L3,=Z3/M3,=AA3/N3,=AB3/O3,=AC3/P3,,"=ROUND(AE3,4)","=ROUND(AF3,4)","=ROUND(AG3,4)","=ROUND(AH3,4)","=ROUND(AI3,4)","=ROUND(AJ3,4)","=ROUND(AK3,4)","=ROUND(AL3,4)","=ROUND(AM3,4)","=ROUND(AN3,4)","=ROUND(AO3,4)","=ROUND(AP3,4)",,"=IFERROR(VLOOKUP(AR3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB3,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC3,'Top WS'!$A$19:$E$28,5),0)"
4,1190011401,"=VLOOKUP(A4,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A4,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A4,'Aji Plus'!$A$2:$D$58,4,0)",167,170,168,167,167,167,160,170,167,170,167,170,,"=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A4,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R4/E4,=S4/F4,=T4/G4,=U4/H4,=V4/I4,=W4/J4,=X4/K4,=Y4/L4,=Z4/M4,=AA4/N4,=AB4/O4,=AC4/P4,,"=ROUND(AE4,4)","=ROUND(AF4,4)","=ROUND(AG4,4)","=ROUND(AH4,4)","=ROUND(AI4,4)","=ROUND(AJ4,4)","=ROUND(AK4,4)","=ROUND(AL4,4)","=ROUND(AM4,4)","=ROUND(AN4,4)","=ROUND(AO4,4)","=ROUND(AP4,4)",,"=IFERROR(VLOOKUP(AR4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB4,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC4,'Top WS'!$A$19:$E$28,5),0)"
5,1190011412,"=VLOOKUP(A5,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A5,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A5,'Aji Plus'!$A$2:$D$58,4,0)",167,170,168,167,167,167,160,170,167,170,167,170,,"=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A5,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R5/E5,=S5/F5,=T5/G5,=U5/H5,=V5/I5,=W5/J5,=X5/K5,=Y5/L5,=Z5/M5,=AA5/N5,=AB5/O5,=AC5/P5,,"=ROUND(AE5,4)","=ROUND(AF5,4)","=ROUND(AG5,4)","=ROUND(AH5,4)","=ROUND(AI5,4)","=ROUND(AJ5,4)","=ROUND(AK5,4)","=ROUND(AL5,4)","=ROUND(AM5,4)","=ROUND(AN5,4)","=ROUND(AO5,4)","=ROUND(AP5,4)",,"=IFERROR(VLOOKUP(AR5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB5,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC5,'Top WS'!$A$19:$E$28,5),0)"
6,1190011501,"=VLOOKUP(A6,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A6,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A6,'Aji Plus'!$A$2:$D$58,4,0)",460,460,464,464,464,464,464,464,464,464,464,464,,"=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A6,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R6/E6,=S6/F6,=T6/G6,=U6/H6,=V6/I6,=W6/J6,=X6/K6,=Y6/L6,=Z6/M6,=AA6/N6,=AB6/O6,=AC6/P6,,"=ROUND(AE6,4)","=ROUND(AF6,4)","=ROUND(AG6,4)","=ROUND(AH6,4)","=ROUND(AI6,4)","=ROUND(AJ6,4)","=ROUND(AK6,4)","=ROUND(AL6,4)","=ROUND(AM6,4)","=ROUND(AN6,4)","=ROUND(AO6,4)","=ROUND(AP6,4)",,"=IFERROR(VLOOKUP(AR6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB6,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC6,'Top WS'!$A$19:$E$28,5),0)"
7,1190011701,"=VLOOKUP(A7,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A7,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A7,'Aji Plus'!$A$2:$D$58,4,0)",380,390,400,400,400,400,400,400,400,400,400,400,,"=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A7,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R7/E7,=S7/F7,=T7/G7,=U7/H7,=V7/I7,=W7/J7,=X7/K7,=Y7/L7,=Z7/M7,=AA7/N7,=AB7/O7,=AC7/P7,,"=ROUND(AE7,4)","=ROUND(AF7,4)","=ROUND(AG7,4)","=ROUND(AH7,4)","=ROUND(AI7,4)","=ROUND(AJ7,4)","=ROUND(AK7,4)","=ROUND(AL7,4)","=ROUND(AM7,4)","=ROUND(AN7,4)","=ROUND(AO7,4)","=ROUND(AP7,4)",,"=IFERROR(VLOOKUP(AR7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB7,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC7,'Top WS'!$A$19:$E$28,5),0)"
8,1190011801,"=VLOOKUP(A8,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A8,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A8,'Aji Plus'!$A$2:$D$58,4,0)",76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,76.6636,,"=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A8,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R8/E8,=S8/F8,=T8/G8,=U8/H8,=V8/I8,=W8/J8,=X8/K8,=Y8/L8,=Z8/M8,=AA8/N8,=AB8/O8,=AC8/P8,,"=ROUND(AE8,4)","=ROUND(AF8,4)","=ROUND(AG8,4)","=ROUND(AH8,4)","=ROUND(AI8,4)","=ROUND(AJ8,4)","=ROUND(AK8,4)","=ROUND(AL8,4)","=ROUND(AM8,4)","=ROUND(AN8,4)","=ROUND(AO8,4)","=ROUND(AP8,4)",,"=IFERROR(VLOOKUP(AR8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB8,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC8,'Top WS'!$A$19:$E$28,5),0)"
9,1190017001,"=VLOOKUP(A9,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A9,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A9,'Aji Plus'!$A$2:$D$58,4,0)",533.1638914465775,492.78535135823046,439.57454901628876,514.1496867681934,526.0647099389213,544.3036692589319,506.4125429343762,512.4279287392019,396.7748813341162,557.7947554759359,444.4344692999977,347.45073660266434,,"=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A9,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R9/E9,=S9/F9,=T9/G9,=U9/H9,=V9/I9,=W9/J9,=X9/K9,=Y9/L9,=Z9/M9,=AA9/N9,=AB9/O9,=AC9/P9,,"=ROUND(AE9,4)","=ROUND(AF9,4)","=ROUND(AG9,4)","=ROUND(AH9,4)","=ROUND(AI9,4)","=ROUND(AJ9,4)","=ROUND(AK9,4)","=ROUND(AL9,4)","=ROUND(AM9,4)","=ROUND(AN9,4)","=ROUND(AO9,4)","=ROUND(AP9,4)",,"=IFERROR(VLOOKUP(AR9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB9,'Top WS'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC9,'Top WS'!$A$19:$E$28,5),0)"
10,1190017013,"=VLOOKUP(A10,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A10,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A10,'Aji Plus'!$A$2:$D$58,4,0)",43.49898918934455,40.204644416634984,35.86335995802608,41.94768630290014,42.919791639381295,44.40784495096894,41.3164396236277,41.807214048324596,32.371483798215074,45.50853579466756,36.25986396603112,28.347298228134942,,"=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,3,0)","=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,4,0)","=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,5,0)","=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,6,0)","=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,7,0)","=VLOOKUP(A10,Actual_RDNS!$A$2:$H$62,8,0)",,,,,,,,=R10/E10,=S10/F10,=T10/G10,=U10/H10,=V10/I10,=W10/J10,=X10/K10,=Y10/L10,=Z10/M10,=AA10/N10,=AB10/O10,=AC10/P10,,"=ROUND(AE10,4)","=ROUND(AF10,4)","=ROUND(AG10,4)","=ROUND(AH10,4)","=ROUND(AI10,4)","=ROUND(AJ10,4)","=ROUND(AK10,4)","=ROUND(AL10,4)","=ROUND(AM10,4)","=ROUND(AN10,4)","=ROUND(AO10,4)","=ROUND(AP10,4)",,"=IFERROR(VLOOKUP(AR10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AS10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AT10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AU10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AV10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AW10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AX10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AY10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(AZ10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BA10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BB10,' WS SF'!$A$19:$E$28,5),0)","=IFERROR(VLOOKUP(BC10,' WS SF'!$A$19:$E$28,5),0)"
