,ชื่อต้องตรงกับ BI,,Target,,,,,,,,,,,,Actual,,,,,,,,,,,,PeQent  (Actual vs Target),,,,,,,,,,,,PeQent (Round) (Actual vs Target),,,,,,,,,,,,Incentive,,,,,,,,,,,,,Direct Sup.,
,,,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,12,13,,,
SalesmanCode,Product,Team,Apr_T,May_T,Jun_T,Jul_T,Aug_T,Sep_T,Oct_T,Nov_T,Dec_T,Jan_T,Feb_T,Mar_T,Apr_A,May_A,Jun_A,Jul_A,Aug_A,Sep_A,Oct_A,Nov_A,Dec_A,Jan_A,Feb_A,Mar_A,Apr_P,May_P,Jun_P,Jul_P,Aug_P,Sep_P,Oct_P,Nov_P,Dec_P,Jan_P,Feb_P,Mar_P,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,Apr_I,May_I,Jun_I,Jul_I,Aug_I,Sep_I,Oct_I,Nov_I,Dec_I,Jan_I,Feb_I,Mar_I,,DirectSupCode,%Salesman
160001,A,Top WS,90687,101927,100406,93939,100815,102575,100207,106364,104231,116350,101753,101755,104164.1,87693.1,0,0,0,0,0,0,0,0,0,0,1,0.86040000000000005,0,0,0,0,0,0,0,0,0,0,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,200,180,180,180,180,180,180,180,180,180,180,180,,160000,0.9
160001,R,Top WS,53051,50068,57851,47433,39743,50357,46264,52554,52712,58614,47446,47440,56606.600000000006,39516.500000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,400,400,360,360,360,360,360,360,360,360,360,360,,160000,1
160001,B,Top WS,3973,2237,2502,3675,3406,3974,3642,3797,3584,3512,3584,3639,465.99999999534009,3007.9999999699203,0,0,0,0,0,0,0,0,0,0,0.1173,1.3447,0,0,0,0,0,0,0,0,0,0,0.9,1.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,720,1040,720,720,720,720,720,720,720,720,720,720,,160000,1.3
160001,P,Top WS,483,217,217,358,297,183,467,265,304,398,416,411,973.36079999999993,136.65959999999998,0,0,0,0,0,0,0,0,0,0,2.0152000000000001,0.62980000000000003,0,0,0,0,0,0,0,0,0,0,1.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,520,360,360,360,360,360,360,360,360,360,360,360,,160000,0.9
160001,Y,Top WS,5682,6691,7231,8126,7484,7390,8236,8532,9782,7320,6149,6151,5189.9999998428639,4877.9999998599824,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,600,600,540,540,540,540,540,540,540,540,540,540,,160000,1
160001,AP,Top WS,10225,11183,12287,14016,11521,10061,14380,15061,12126,12866,10848,10853,11538.059999999996,9514.9599999999973,0,0,0,0,0,0,0,0,0,0,1.1284000000000001,0.8508,0,0,0,0,0,0,0,0,0,0,1.1499999999999999,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,230,180,180,180,180,180,180,180,180,180,180,180,,160000,0.9
160001,M,Top WS,1332,1505,1220,1298,1319,1364,1528,2274,1490,1352,1708,1705,1224,834.5,0,0,0,0,0,0,0,0,0,0,0.91890000000000005,0.55449999999999999,0,0,0,0,0,0,0,0,0,0,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,190,180,180,180,180,180,180,180,180,180,180,180,,160000,0.9
160001,Q,Top WS,52,62,66,42,58,83,55,110,98,75,132,132,83.52,47.231999999999992,0,0,0,0,0,0,0,0,0,0,1.6062000000000001,0.76180000000000003,0,0,0,0,0,0,0,0,0,0,1.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,520,360,360,360,360,360,360,360,360,360,360,360,,160000,0.9
