Salesman Code,Product,April,May,June,July,August,September,October,November,December,January,February,MaQh
130003,A,12086.3,11470.2,,,,,,,,,,
130003,R,11168.600000000002,11939.8,,,,,,,,,,
130003,Y,1597.9999999461115,3997.9999999012271,,,,,,,,,,
130003,M,2063.5,1328.5,,,,,,,,,,
130003,B,119.99999999879999,1799.999999982,,,,,,,,,,
130003,AP,1209.5999999999999,504,,,,,,,,,,
130003,P,794.78459999999995,,,,,,,,,,,
130003,NS,118.80000000000001,118.80000000000001,,,,,,,,,,
130003,RK,135,27,,,,,,,,,,
130002,A,25314.9,25517.4,,,,,,,,,,
130002,R,7318.8,11646.199999999999,,,,,,,,,,
130002,AP,4071.84,5022.18,,,,,,,,,,
130002,B,429.99999999569997,2245.9999999775396,,,,,,,,,,
130002,Y,575.99999998429189,1453.9999999564664,,,,,,,,,,
130002,P,804.83939999999996,702.67619999999999,,,,,,,,,,
130002,RK,162,639,,,,,,,,,,
130002,M,158.60000000000002,417.3,,,,,,,,,,
130002,NS,246.76,60.739999999999995,,,,,,,,,,
130002,T,200.4,4.8000000000000007,,,,,,,,,,
130002,Q,67.391999999999996,34.56,,,,,,,,,,
130001,A,236700.4,226483.9,,,,,,,,,,
130001,R,52658,55385.1,,,,,,,,,,
130001,AP,24595.200000000001,26230.499999999996,,,,,,,,,,
130001,Y,5519.9999998596186,2024.9999999689201,,,,,,,,,,
130001,B,2799.9999999720003,4299.999999957,,,,,,,,,,
130001,P,4299.1289999999999,,,,,,,,,,,
130001,M,1990.0000000000002,1436.0000000000002,,,,,,,,,,
130001,RK,1794,1080,,,,,,,,,,
130001,T,1395.6000000000004,1291.2,,,,,,,,,,
130001,NS,502.40000000000003,747.19999999999993,,,,,,,,,,
130001,Q,160.99199999999999,156.672,,,,,,,,,,
150001,A,41110.1,52562.6,,,,,,,,,,
150001,R,20897.399999999998,22960.800000000003,,,,,,,,,,
150001,B,18063.999999819363,16269.999999837302,,,,,,,,,,
150001,AP,3928.6200000000003,5880.84,,,,,,,,,,
150001,Y,1728.9999999691674,4609.9999999335105,,,,,,,,,,
150001,M,818.19999999999993,335.7,,,,,,,,,,
150001,T,265.20000000000005,261.60000000000002,,,,,,,,,,
150001,P,102.303,321.57899999999995,,,,,,,,,,
150001,RK,248.40000000000003,88.2,,,,,,,,,,
150001,NS,,66.06,,,,,,,,,,
150001,Q,5.76,28.224,,,,,,,,,,
110003,A,8033.6,17348.8,,,,,,,,,,
110003,R,8907.0999999999985,11648.399999999998,,,,,,,,,,
110003,AP,3326.4,2016,,,,,,,,,,
110003,P,739.01160000000004,4091.6123999999995,,,,,,,,,,
110003,M,443,1450.2,,,,,,,,,,
110003,Y,35.999999999639996,1055.9999999883601,,,,,,,,,,
110003,T,102,24,,,,,,,,,,
110003,NS,,62.999999999999993,,,,,,,,,,
110003,RK,10.799999999999999,,,,,,,,,,,
110002,A,9550.2000000000007,9775.6,,,,,,,,,,
110002,R,4758.0999999999985,5558.5999999999995,,,,,,,,,,
110002,AP,1285.0800000000004,1242.1799999999998,,,,,,,,,,
110002,P,708.01019999999994,630.53999999999985,,,,,,,,,,
110002,Y,409.99999999199986,897.99999998267947,,,,,,,,,,
110002,T,272.40000000000009,231.6,,,,,,,,,,
110002,B,111.99999999888,157.99999999842004,,,,,,,,,,
110002,M,83,67.400000000000006,,,,,,,,,,
110002,RK,32.4,97.2,,,,,,,,,,
110002,NS,50.4,24.48,,,,,,,,,,
110002,Q,70.271999999999991,,,,,,,,,,,
110001,A,97380.6,105917.6,,,,,,,,,,
110001,R,32733.5,34763,,,,,,,,,,
110001,AP,11614.499999999996,16333.8,,,,,,,,,,
110001,Y,1199.9999999879999,49.9999999992,,,,,,,,,,
110001,M,421.4,652.79999999999995,,,,,,,,,,
110001,B,49.999999999500005,1009.9999999899001,,,,,,,,,,
110001,RK,324,216,,,,,,,,,,
110001,NS,29.700000000000003,292.99999999999994,,,,,,,,,,
110001,T,6,102,,,,,,,,,,
110001,Q,,23.04,,,,,,,,,,
140003,A,6303,11480.7,,,,,,,,,,
140003,R,6660.5,10883,,,,,,,,,,
140003,Y,3347.9999999549991,4487.9999999497213,,,,,,,,,,
140003,M,850,1089,,,,,,,,,,
140003,P,1067.742,,,,,,,,,,,
140003,B,,399.99999999600004,,,,,,,,,,
140003,RK,,216,,,,,,,,,,
140003,AP,,151.19999999999999,,,,,,,,,,
140003,T,120,,,,,,,,,,,
140002,A,15074.4,12196.8,,,,,,,,,,
140002,R,5302.0999999999995,3901.7999999999997,,,,,,,,,,
140002,AP,2268,1411.1999999999998,,,,,,,,,,
140002,Y,571.99999999212002,799.99999999092017,,,,,,,,,,
140002,T,282,300,,,,,,,,,,
140002,RK,81,248.40000000000003,,,,,,,,,,
140002,M,164.4,126.6,,,,,,,,,,
140002,NS,229.4,,,,,,,,,,,
140002,B,92.999999999069999,84.999999999150006,,,,,,,,,,
140002,Q,46.08,57.6,,,,,,,,,,
140002,P,10.799999999999999,13.1706,,,,,,,,,,
140001,A,173949.4,177552.9,,,,,,,,,,
140001,R,78289,73276.3,,,,,,,,,,
140001,AP,25401.599999999995,30375.479999999996,,,,,,,,,,
140001,B,9249.9999999075008,12599.999999873999,,,,,,,,,,
140001,Y,3719.9999999358001,5569.9999998803978,,,,,,,,,,
140001,M,3371,129,,,,,,,,,,
140001,T,120,120,,,,,,,,,,
140001,RK,108,86.399999999999991,,,,,,,,,,
140001,P,110.0646,30.385799999999996,,,,,,,,,,
140001,NS,43.019999999999996,37.799999999999997,,,,,,,,,,
120002,A,40322,53459.6,,,,,,,,,,
120002,R,16459.5,27532.300000000014,,,,,,,,,,
120002,AP,8467.2000000000007,8124.4799999999987,,,,,,,,,,
120002,Y,579.99999998963983,1641.9999999647994,,,,,,,,,,
120002,B,743.99999999256011,690.99999999308989,,,,,,,,,,
120002,T,699.59999999999957,490.8,,,,,,,,,,
120002,M,392.20000000000005,562.79999999999995,,,,,,,,,,
120002,P,276.30540000000002,359.21699999999998,,,,,,,,,,
120002,RK,140.4,286.20000000000005,,,,,,,,,,
120002,NS,149.42000000000002,246.4,,,,,,,,,,
120002,Q,11.52,11.52,,,,,,,,,,
120001,A,55762.3,73122.2,,,,,,,,,,
120001,R,30180.600000000002,31637.300000000003,,,,,,,,,,
120001,AP,7963.2,7816.4399999999978,,,,,,,,,,
120001,Y,562.9999999796878,1799.9999999665192,,,,,,,,,,
120001,P,310.62419999999997,1488.6593999999998,,,,,,,,,,
120001,T,1045.2,742.79999999999973,,,,,,,,,,
120001,RK,405,675,,,,,,,,,,
120001,B,555.99999999444003,251.99999999748002,,,,,,,,,,
120001,M,58,645.79999999999995,,,,,,,,,,
120001,Q,11.52,84.096000000000004,,,,,,,,,,
120001,NS,53.46,11.88,,,,,,,,,,
160002,A,63851.1,94766.1,,,,,,,,,,
160002,R,25446,24171.200000000001,,,,,,,,,,
160002,AP,5323.1399999999994,6705.0599999999977,,,,,,,,,,
160002,B,5416.9999999458287,5088.9999999491101,,,,,,,,,,
160002,Y,2195.9999999513993,2387.9999999572201,,,,,,,,,,
160002,P,2110.8510000000001,737.74799999999993,,,,,,,,,,
160002,M,355.1,366.9,,,,,,,,,,
160002,RK,540,108,,,,,,,,,,
160002,Q,201.60000000000002,67.968000000000004,,,,,,,,,,
160002,T,122.39999999999999,92.399999999999991,,,,,,,,,,
160001,A,104164.1,87693.1,,,,,,,,,,
160001,R,56606.600000000006,39516.500000000007,,,,,,,,,,
160001,AP,11538.059999999996,9514.9599999999973,,,,,,,,,,
160001,Y,5189.9999998428639,4877.9999998599824,,,,,,,,,,
160001,B,465.99999999534009,3007.9999999699203,,,,,,,,,,
160001,M,1224,834.5,,,,,,,,,,
160001,T,492,542.40000000000009,,,,,,,,,,
160001,P,973.36079999999993,136.65959999999998,,,,,,,,,,
160001,RK,600,113.4,,,,,,,,,,
160001,Q,83.52,47.231999999999992,,,,,,,,,,
160001,NS,29.700000000000003,98.639999999999986,,,,,,,,,,
