Salesman Code,Sales Office,April,May,June,July,August,September
1190011201,Thonburi,10686.659999999994,10938.919999999998,12155.999999999991,13346.339999999995,11659.179999999997,8412.4599999999973
1190011203,Thonburi,,1.5,,,,
1190011214,Thonburi,4872.12,5921.4,8818.7999999999938,12257.219999999992,8300.2799999999988,3425.5200000000023
1190011401,Nonthaburi,5775.84,8476.8000000000011,6833.4400000000005,10179.999999999996,9112.3199999999924,5843.8199999999979
1190011412,Nonthaburi,4843.3200000000015,10705.38,10573.439999999999,10436.999999999995,9570.3599999999988,4474.8000000000011
1190011501,Pattanakarn,31634.7,28241.359999999997,33036.840000000018,37197.180000000022,23767.460000000014,29194.14000000001
1190011701,Bangpoo,18807.840000000007,19533.839999999993,21292.440000000006,23776.560000000027,22363.020000000008,19757.46000000001
1190011801,Ramindra,2748.54,4218.1200000000008,3963.5400000000004,4472.4599999999982,4387.1399999999967,3008.280000000002
1190017001,Pathumthani,22183.260000000006,22958.459999999985,24229.500000000007,26343,22603.800000000014,23135.7
1190017013,Pathumthani,2255.0999999999995,2557.7400000000002,3865.0800000000013,4281.1799999999994,5183.4599999999991,5019.6000000000004
1190017014,Pathumthani,302.39999999999998,302.39999999999998,317.39999999999998,403.2,302.39999999999998,100.8
1190021901,Chiangmai,4159.9800000000014,4873.079999999999,4888.8000000000011,6105.6599999999989,4719.5400000000009,4298.5200000000013
1190021902,Chiangmai,1421.2800000000002,151.19999999999999,461.1,259.5,151.19999999999999,639.95999999999992
1190022001,Chiangrai,4966.7600000000011,5569.0199999999995,3174.0999999999995,3941.56,3601.6600000000008,5840.5599999999986
1190022101,Phrae,4833.1799999999967,3659.6999999999985,3928.56,3633.6600000000021,4533.3599999999997,3332.2200000000016
1190022201,Lampang,1649.5800000000006,1236.7799999999997,992.51999999999975,1992.9600000000003,1637.4000000000005,1773.8600000000006
1190022301,P.Sanulok,1055.3400000000001,2815.8,1541.7600000000002,1961.5800000000006,2677.7400000000002,1848.8400000000004
